Date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-03-07,SD,0,5,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,5,5,0,0,0,0,0
2020-03-07,TN,1,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,TX,8,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,8,8,0,0,0,3,3
2020-03-07,UT,1,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,VA,0,31,7,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,31,31,0,0,10,0,10
2020-03-07,VT,0,16,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,16,16,0,0,8,0,8
2020-03-07,WA,182,1746,66,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,27,0,1928,1928,1,0,368,32,400
2020-03-07,WI,1,31,12,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,32,32,0,0,0,0,0
2020-03-07,WV,0,2,3,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,2,2,0,0,1,0,1
2020-03-07,WY,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-08,AK,0,14,6,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,14,14,0,0,2,0,2
2020-03-08,AL,0,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-08,AR,0,6,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,6,6,0,0,0,0,0
2020-03-08,AZ,5,44,7,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,49,49,0,0,0,0,0
2020-03-08,CA,88,462,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,550,550,0,0,0,19,19
2020-03-08,CO,8,104,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,112,112,0,0,49,0,49
2020-03-08,CT,1,29,8,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,30,30,0,0,29,1,30
2020-03-08,DC,1,10,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,11,11,0,0,2,1,3
2020-03-08,DE,0,10,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,10,10,0,0,0,0,0
2020-03-08,FL,17,118,108,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,135,135,0,0,18,3,21
2020-03-08,GA,7,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,7,7,0,0,0,1,1
2020-03-08,HI,1,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-08,IA,0,15,2,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-08,ID,0,27,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,27,27,0,0,0,0,0
2020-03-08,IL,6,191,44,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,197,197,0,0,0,0,0
2020-03-08,IN,2,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,2,2,0,0,0,1,1
2020-03-08,KS,1,11,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,12,12,0,0,0,1,1
2020-03-08,KY,1,13,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,14,14,0,0,4,0,4
2020-03-08,LA,0,5,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,5,5,0,0,5,0,5
2020-03-08,MD,3,52,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,55,55,0,0,11,0,11
2020-03-08,ME,0,1,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-08,MI,168,26,10,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,194,194,0,0,8,40,48
2020-03-08,MN,1,48,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,49,49,0,0,0,0,0
2020-03-08,MO,1,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,1,1,0,0,0,1,1
2020-03-08,MS,0,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-08,MT,0,11,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,11,11,0,0,0,0,0
2020-03-08,NC,2,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-08,ND,0,0,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-08,NE,1,17,5,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,18,18,0,0,0,0,0
2020-03-08,NH,4,38,5,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,42,42,0,0,18,2,20
2020-03-08,NJ,6,31,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,37,37,0,0,31,2,33
2020-03-08,NM,0,48,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,48,48,0,0,0,0,0
2020-03-08,NV,1,14,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-08,NY,105,92,0,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,197,197,0,0,0,29,29
2020-03-08,OH,0,10,4,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,10,10,0,0,1,0,1
2020-03-08,OK,1,8,2,0,0,0,0,0,0,0,2020-03-08T20:00:00Z,0,0,9,9,0,0,8,0,8
